id,C1,C2
Jeotgalicoccus halotolerans,2713,Infinity
Staphylococcus pettenkoferi,2315,Infinity
Staphylococcus simulans,1045,Infinity
Aerococcus urinaeequi-viridans,1592,Infinity
Dolosigranulum pigrum,4920,Infinity
(f)Streptococcaceae sp.,2830,Infinity
Streptococcus oralis,3987,Infinity
Clostridium disporicum,1520,15200
Blautia sp.,399,3990
Lachnoclostridium sp.,Unknown,Unknown
(o)Tissierellales sp.,578,5783
Sphingobium yanoikuyae,88,365
Herbaspirillum magnetovibrio,Unknown,Unknown
Massilia timonae,1571,Infinity
Actinobacillus sp.,6746,Infinity
(f)Moraxellaceae sp.,13236,Infinity
Pseudomonas pseudoalcaligenes,1340,Infinity
Arenimonas sp.,7650,Infinity
Treponema sp.,402,4026
Aureobasidium proteae-pullulans,41,Infinity
Penicillium sp.,615,Infinity
Stereum complicatum,Unknown,Unknown
Malassezia sp.,Unknown,Unknown
Malassezia pachydermatis,Unknown,Unknown
Gleimia sp.,453,Infinity
Corynebacterium amycolatum,3993,Infinity
Corynebacterium mucifaciens,24363,Infinity
Mycolicibacterium smegmatis,0,0
Rhodococcus sp.,2216,Infinity
Cellulomonas sp.,1500,Infinity
Micrococcus aloeverae-luteus,3420,Infinity
(f)Propionibacteriaceae sp.,40660,Infinity
Bacteroides heparinolyticus,0,0
Capnocytophaga sp.,2196,Infinity
Alopecurus japonicus,26470,Infinity
(f)Populus euphratica euphratica-x,3000,Infinity
Exiguobacterium acetylicum,4003,Infinity
Staphylococcus sciuri,0,0
(f)Aerococcaceae sp.,10560,Infinity
Streptococcus minor,283,Infinity
Streptococcus mitis-oralis-pneumoniae,2112,Infinity
Streptococcus sanguinis,7027,Infinity
Clostridium perfringens,291,2911
Intestinibacter sp.,781,Infinity
(f)Peptostreptococcaceae sp.,3970,Infinity
Peptostreptococcus sp.,123,1236
Holdemanella biformis,147,1476
Anaerococcus provencensis,3033,Infinity
Fusobacterium nucleatum,73,738
(o)Fusobacteriales sp.,0,0
(c)Fusobacteriia sp.,7493,Infinity
(f)Bradyrhizobiaceae sp.,2463,Infinity
(f)Mitochondria aestivum,533,Infinity
Sphingomonas paucimobilis,Unknown,Unknown
Ralstonia mannitolilytica,2505,Infinity
Massilia sp.,4100,Infinity
Massilia brevitalea,3720,Infinity
Haemophilus sp.,2383,Infinity
Acinetobacter ursingii,466,Infinity
Pseudomonas poae,1156,Infinity
Pseudomonas protegens,380,Infinity
(p)Ascomycota sp.,16,Infinity
Trametes versicolor,Unknown,Unknown
Malassezia sympodialis,2,Infinity
Vishniacozyma victoriae,15,Infinity
(o)Acidimicrobiales sp.,1203,Infinity
Bifidobacterium adolescentis,1572,Infinity
Corynebacterium glucuronolyticum,8723,Infinity
Corynebacterium segmentosum,2990,Infinity
Gordonia otitidis,4800,Infinity
Microbacterium oleivorans,Unknown,Unknown
Yaniella halotolerans,43623,Infinity
Collinsella tanakaei,0,0
(o)Solirubrobacterales sp.,1463,Infinity
Bacteroides fragilis,0,0
Bacteroides plebeius,167,Infinity
(f)Anaerolineaceae sp.,1370,Infinity
(p)Chloroflexi sp.,1866,Infinity
(c)Thermomicrobia sp.,500,Infinity
Planococcus sp.,1923,Infinity
Staphylococcus auricularis,33466,Infinity
Staphylococcus equorum,162484,Infinity
Staphylococcus saprophyticus,1038,Infinity
Lactobacillus crispatus,0,0
Streptococcus equinus-infantarius-lutetiensis,103,1038
Streptococcus sp.,12730,Infinity
Fusicatenibacter saccharivorans,2016,Infinity
Megasphaera elsdenii,27,278
Veillonella dispar,161,Infinity
Ezakiella sp.,2226,Infinity
Fusobacterium gastrosuis,6550,Infinity
Leptotrichia sp.,1953,Infinity
(f)Leptotrichiaceae sp.,2420,Infinity
Brevundimonas intermedia-nasdae-vesicularis,9725,Infinity
Agrobacterium tumefaciens,3280,Infinity
Paraburkholderia bryophila,1180,Infinity
Aquaspirillum sp.,1520,Infinity
Neisseria wadsworthii,19760,Infinity
Desulfomicrobium orale,2045,Infinity
(c)Deltaproteobacteria sp.,893,Infinity
Arcobacter suis,Unknown,Unknown
Wolinella succinogenes,3433,Infinity
(f)Cardiobacteriaceae sp.,2376,Infinity
Acinetobacter sp.,2896,Infinity
(o)Pseudomonadales sp.,5473,Infinity
(f)Spirochaetaceae sp.,132,Infinity
Fretibacterium sp.,2483,Infinity
(c)Mollicutes sp.,886,Infinity
Cladosporium halotolerans-sphaerospermum,186,Infinity
Aureobasidium melanogenum,351,Infinity
(o)Pleosporales sp.,191,Infinity
Aspergillus halophilicus,Unknown,Unknown
Aspergillus penicillioides,26,Infinity
Aspergillus subversicolor-sydowii-versicolor,1,17
Candida albicans,0,0
Candida parapsilosis,8,Infinity
Cyberlindnera jadinii,7,Infinity
Myrothecium gramineum,Unknown,Unknown
Neurospora crassa-discreta,0,0
Malassezia arunalokei,175,Infinity
Ustilago sp.,Unknown,Unknown
(c)Wallemiomycetes sp.,4,Infinity
Actinomyces neuii,370,Infinity
Trueperella abortisuis,543,Infinity
Varibaculum sp.,820,Infinity
Bifidobacterium gallinarum-saeculare,205,2056
Gardnerella vaginalis,1750,Infinity
Corynebacterium accolens-segmentosum,4770,Infinity
Corynebacterium otitidis,5930,Infinity
Corynebacterium simulans,1355,Infinity
Corynebacterium singulare,3365,Infinity
(f)Corynebacteriaceae sp.,1350,Infinity
Modestobacter marinus-roseus,16830,Infinity
(f)Cellulomonadaceae sp.,743,Infinity
Brachybacterium conglomeratum-paraconglomeratum,Unknown,Unknown
(f)Microbacteriaceae sp.,21523,Infinity
Microbacterium lacticum,2886,Infinity
Microbacterium maritypicum-oxydans,Unknown,Unknown
Arthrobacter agilis,8296,Infinity
Kocuria rosea,2040,Infinity
(o)Propionibacteriales sp.,760,Infinity
Friedmanniella sp.,3226,Infinity
Microlunatus sp.,2383,Infinity
Tessaracoccus sp.,48766,Infinity
Actinomycetospora sp.,523,Infinity
(f)Coriobacteriaceae sp.,1843,Infinity
(o)Coriobacteriales sp.,11,110
Bacteroides stercoris,42,420
Bacteroides thetaiotaomicron,57,Infinity
Prevotella timonensis,1180,Infinity
(f)Hymenobacteraceae sp.,2346,Infinity
(o)Cytophagales sp.,28793,Infinity
Empedobacter falsenii,1503,Infinity
Brassica napus,134496,Infinity
(f)Bacillaceae sp.,3086,Infinity
Gemella haemolysans,1623,Infinity
Planomicrobium glaciei,3443,Infinity
Staphylococcus pasteuri,1840,Infinity
Atopostipes suicloacalis,1020,Infinity
(f)Carnobacteriaceae sp.,Unknown,Unknown
Enterococcus faecium,50,505
Lactobacillus jensenii,0,0
Streptococcus australis,2715,Infinity
Streptococcus gordonii,600,Infinity
Streptococcus parasanguinis,817,Infinity
Blautia luti,4833,Infinity
Coprococcus comes,2713,Infinity
Filifactor sp.,1653,Infinity
Flavonifractor plautii,0,0
Catenibacterium mitsuokai,87,873
