id,C1,C2
Jatrophihabitans sp.,Unknown,Unknown
Brachybacterium conglomeratum-paraconglomeratum,203,1456.66666666667
Frondihabitans sp.,0,Infinity
Rothia nasimurium,4989,25409
Actinoplanes utahensis,0,Infinity
Paludibacter sp.,0,61
Porphyromonas canoris,6001.66666666667,26251
Pedobacter sp.,1424,Infinity
Asterionella formosa,Unknown,Unknown
Dolosigranulum pigrum,Unknown,Unknown
(c)Bacilli sp.,1031.66666666667,5118.66666666667
Fusibacter sp.,9263.33333333333,Infinity
(f)Family XIII sp.,Unknown,Unknown
(f)Lachnospiraceae sp.,Unknown,Unknown
Roseburia sp.,0,31.25
Intestinibacter sp.,111.333333333333,1229.33333333333
Paeniclostridium sp.,0,0
Erysipelatoclostridium ramosum,0,73.3333333333333
Brevundimonas intermedia-nasdae-vesicularis,1074,4766
Phenylobacterium immobile,0,Infinity
Novosphingobium lindaniclasticum,0,Infinity
Sphingomonas astaxanthinifaciens-humi-swuensis,0,Infinity
Sphingomonas leidyi,0,Infinity
Achromobacter anxifer-denitrificans,0,0
Neisseria shayeganii,10438,42940.3333333333
Neisseria zoodegmatis,336.75,1584.5
Pseudomonas mosselii-plecoglossicida-putida,0,Infinity
Acidothermus sp.,Unknown,Unknown
Corynebacterium sp.,23292.5,Infinity
Williamsia sp.,2926.66666666667,Infinity
Williamsia maris,0,Infinity
Kineococcus endophyticus,0,Infinity
Kineococcus mangrovi,Unknown,Unknown
Brachybacterium ginsengisoli,0,Infinity
Brachybacterium muris,136.666666666667,1366.66666666667
Dermabacter hominis,0,0
(f)Dermabacteraceae sp.,0,0
Janibacter indicus,0,Infinity
Leucobacter alluvii-chromiiresistens,0,Infinity
Friedmanniella sagamiharensis,1790,Infinity
Actinomycetospora chibensis,Unknown,Unknown
Collinsella aerofaciens,0,Infinity
Collinsella stercoris,0,0
Chryseobacterium sp.,523.6,5236
Oscillatoria nigro-viridis,0,0
Weissella cibaria-confusa-salipiscis,0,0
Streptococcus equinus-salivarius,2018.33333333333,Infinity
(f)Family XI sp.,802.333333333333,Infinity
Ruminiclostridium sp.,0,0
Blautia sp.,575.2,5752
Blautia luti,Unknown,Unknown
Peptococcus sp.,95,950
Proteocatella sp.,3874.66666666667,Infinity
Anaerococcus hydrogenalis,79.3333333333333,793.333333333333
