Pathogens
Neisseria mucosa
Neisseria shayeganii
Nocardia 
Nocardia asteroides
Nocardia brasiliensis
Nocardia otitidiscaviarum
Ochrobactrum 
Ochrobactrum anthropi
Ochrobactrum grignonense
Ochrobactrum intermedium
Ochrobactrum pituitosum
Ochrobactrum pseudogrignonense
Oligella 
Oligella urethralis
Paeniclostridium sordellii
Pannonibacter
Pannonibacter phragmitetus
Paracoccus yeei
Parvimonas
Parvimonas micra
Pasteurella 
Pasteurella dagmatis
Pasteurella multocida
Peptococcus
Peptococcus niger
Peptoniphilus 
Peptoniphilus asaccharolyticus
Peptoniphilus coxii
Peptoniphilus duerdenii
Peptoniphilus harei
Peptoniphilus indolicus
Peptoniphilus ivorii
Peptoniphilus koenoeneniae
Peptoniphilus olsenii
Peptoniphilus rhinitidis
Peptoniphilus tyrrelliae
Peptostreptococcus anaerobius
Pleurostomophora ochracea
Porphyromonas
Porphyromonas bennonis
Porphyromonas gingivalis
Porphyromonas pogonae
Porphyromonas somerae
Prevotella 
Prevotella bivia
Prevotella intermedia
Prevotella loescheii
Prevotella loscheii
Prevotella melaninogenica
Prevotella nigrescens
Prevotella timonensis
Propionibacterium acnes
Proteus
Proteus mirabilis
Proteus vulgaris
Providencia
Providencia rettgeri
Providencia stuartii
Pseudoclavibacter bifida
Pseudoglutamicibacter albus
Pseudoglutamicibacter cumminsii
Pseudomonas
Pseudomonas aeruginosa
Pseudomonas fluorescens
Pseudomonas oryzihabitans
Raoultella 
Raoultella ornithinolytica
Raoultella planticola
Roseomonas
Roseomonas gilardii
Roseomonas mucosa
Rothia mucilaginosa
Rothia terrae
Salmonella
Salmonella enterica
Schaalia 
Schaalia meyeri
Schaalia odontolytica
Schaalia radingae
Schaalia turicensis
Serratia 
Serratia marcescens
Shigella
Shigella flexneri
Shigella sonnei
Slackia exigua
Sphingomonas
Staphylococcus aureus
Staphylococcus haemolyticus
Staphylococcus hominis
Staphylococcus lugdunensis
Staphylococcus pettenkoferi
Staphylococcus pseudintermedius
Staphylococcus saccharolyticus
Staphylococcus saprophyticus
Staphylococcus simulans
Staphylococcus warneri
Stenotrophomonas maltophilia
Streptococcus
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus constellatus
Streptococcus dysgalactiae
Streptococcus intermedius
Streptococcus milleri
Streptococcus mitis
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus suis
Streptomyces
Streptomyces cacaoi
Streptomyces somaliensis
Tannerella forsythia
Treponema 
Treponema denticola
Trueperella abortisuis
Trueperella pyogenes
Ureaplasma parvum
Ureaplasma urealyticum
Veillonella 
Veillonella parvula
Vibrio 
Vibrio cholerae
Vibrio vulnificus
Weeksella virosa
Yersinia 
Yersinia enterocolitica
Yersinia pestis
