id,C1,C2
(f)Pasteurellaceae sp.,540,Infinity
Acinetobacter albensis,2683,Infinity
Acinetobacter bohemicus,156,Infinity
Pseudomonas fragi-psychrophila,313,Infinity
Pseudomonas migulae,756,Infinity
Pseudomonas poae,0,Infinity
Pseudomonas stutzeri,947,Infinity
(o)Oligoflexales sp.,66,Infinity
Cladosporium lignicola-sphaerospermum,29,Infinity
(f)Teratosphaeriaceae sp.,13,Infinity
Alternaria sesami,5,Infinity
Aspergillus sp.,27,Infinity
Aspergillus penicillioides,9,Infinity
(f)Aspergillaceae sp.,8,Infinity
Penicillium sp.,14,Infinity
Candida parapsilosis,7,Infinity
(c)Sordariomycetes sp.,5,Infinity
(f)Psathyrellaceae sp.,Unknown,Unknown
Rhodotorula alborubescens-mucilaginosa,5,Infinity
Filobasidium magnum,11,Infinity
(o)Diversisporales sp.,4,Infinity
Actinomyces naeslundii,Unknown,Unknown
Corynebacterium afermentans-ihumii,Unknown,Unknown
Lawsonella clevelandensis,Unknown,Unknown
Nocardia sp.,Unknown,Unknown
(f)Cryptosporangiaceae sp.,Unknown,Unknown
Modestobacter sp.,Unknown,Unknown
Pseudokineococcus sp.,Unknown,Unknown
(o)Kineosporiales sp.,Unknown,Unknown
Brevibacterium sp.,Unknown,Unknown
(f)Cellulomonadaceae sp.,Unknown,Unknown
Dermacoccus nishinomiyaensis,Unknown,Unknown
Aquipuribacter hungaricus,Unknown,Unknown
Ornithinimicrobium sp.,Unknown,Unknown
Cryobacterium arcticum,Unknown,Unknown
Microbacterium maritypicum-oxydans,Unknown,Unknown
Arthrobacter psychrochitiniphilus,Unknown,Unknown
Micrococcus sp.,Unknown,Unknown
(f)Micrococcaceae sp.,Unknown,Unknown
Paenarthrobacter nitroguajacolicus,Unknown,Unknown
Pseudarthrobacter oxydans,Unknown,Unknown
Rothia endophytica,Unknown,Unknown
(o)Nakamurellales sp.,Unknown,Unknown
(f)Nakamurellaceae sp.,Unknown,Unknown
Friedmanniella sp.,Unknown,Unknown
Friedmanniella capsulata,Unknown,Unknown
Marmoricola sp.,Unknown,Unknown
Cutibacterium granulosum,Unknown,Unknown
Microlunatus sp.,Unknown,Unknown
