id,C1,C2
Quadrisphaera sp.,3570,Infinity
Brevibacterium paucivorans,0,0
Cellulomonas carbonis,0,Infinity
Dermabacter hominis-vaginalis,0,0
Janibacter hoylei,0,Infinity
Agromyces iriomotensis,0,Infinity
Microbacterium hydrothermale,7640,Infinity
Microbacterium lacus-pumilum,4670,Infinity
Microbacterium testaceum,7075,Infinity
Kocuria atrinae,0,Infinity
Kocuria carniphila,1263.33333333333,Infinity
Micromonospora saelicesensis,0,Infinity
Wangella harbinensis,0,Infinity
Friedmanniella sp.,10416.6666666667,Infinity
Marmoricola sp.,15940,Infinity
Cutibacterium avidum,247.333333333333,2473.33333333333
Actinomycetospora atypica,2813.33333333333,Infinity
(o)Streptomycetales sp.,0,Infinity
Gaiella sp.,Unknown,Unknown
(o)Solirubrobacterales sp.,Unknown,Unknown
Bergeyella sp.,Unknown,Unknown
Chryseobacterium hominis,0,Infinity
(f)Anaerolineaceae sp.,4485,Infinity
(o)Anaerolineales sp.,Unknown,Unknown
Navicula sp.,Unknown,Unknown
Orthotrichum rogeri,0,Infinity
Geobacillus thermodenitrificans,0,Infinity
Lysinibacillus sp.,0,Infinity
Exiguobacterium acetylicum,5766.66666666667,Infinity
Planococcus plakortidis,0,Infinity
Sporosarcina pasteurii,2583.33333333333,Infinity
Staphylococcus agnetis-felis-hyicus,59.6666666666667,596.666666666667
Staphylococcus pseudintermedius,0,0
Thermoactinomyces vulgaris,Unknown,Unknown
(f)Aerococcaceae sp.,7710,Infinity
Lactobacillus acidophilus,777.5,Infinity
Streptococcus agalactiae,68.7142857142857,687.142857142857
(f)Christensenellaceae sp.,Unknown,Unknown
(f)Family XI sp.,0,Infinity
(f)Family XIII sp.,0,0
Filifactor villosus,764,7640
(o)Tissierellales sp.,3163.33333333333,Infinity
(f)Gemmatimonadaceae sp.,9456.66666666667,Infinity
(k)Bacteria sp.,4016.66666666667,Infinity
(f)Planctomycetaceae sp.,10193.3333333333,Infinity
Bradyrhizobium sp.,0,Infinity
(f)Hyphomicrobiaceae sp.,0,Infinity
Rhodoplanes sp.,0,Infinity
Microvirga aerilata,5516.66666666667,Infinity
Methyloceanibacter marginalis,2990,Infinity
Novosphingobium barchaimii-fluoreni,3713.33333333333,Infinity
(c)Betaproteobacteria sp.,4215,Infinity
Aeromonas caviae-enteropelogenes,0,Infinity
Acinetobacter johnsonii,2120,Infinity
Acinetobacter variabilis,0,Infinity
Acinetobacter venetianus,0,Infinity
Pseudomonas fragi-psychrophila,0,Infinity
Pseudomonas oleovorans,0,Infinity
Pseudomonas psychrotolerans,188,Infinity
Fretibacterium sp.,5213.33333333333,Infinity
Corynebacterium canis,3590,Infinity
Corynebacterium lactis,7104.66666666667,Infinity
Corynebacterium macginleyi,Unknown,Unknown
Corynebacterium pollutisoli,Unknown,Unknown
(f)Mycobacteriaceae brisbanense-dioxanotrophicus,Unknown,Unknown
Mycolicibacterium doricum,Unknown,Unknown
(f)Mycobacteriaceae sp.,Unknown,Unknown
(f)Frankiaceae sp.,3066.66666666667,Infinity
Geodermatophilus sp.,3576.66666666667,Infinity
Modestobacter marinus-roseus,8060,Infinity
Kineococcus endophyticus,1863.33333333333,Infinity
Cellulomonas aerilata,Unknown,Unknown
Lapillicoccus sp.,Unknown,Unknown
Tetrasphaera remsis,4646.66666666667,Infinity
Amnibacterium kyonggiense,3186.66666666667,Infinity
Curtobacterium flaccumfaciens,4500,Infinity
Leucobacter sp.,6158,Infinity
Lysinimonas kribbensis,Unknown,Unknown
Microbacterium oleivorans,13863.3333333333,Infinity
Microbacterium saccharophilum,6770,Infinity
Arthrobacter parietis,Unknown,Unknown
Glutamicibacter arilaitensis,1508.33333333333,Infinity
Micrococcus lylae,9886.66666666667,Infinity
Paeniglutamicibacter sulfureus,903.333333333333,Infinity
Pseudarthrobacter defluvii,Unknown,Unknown
Isoptericola variabilis,Unknown,Unknown
(f)Micromonosporaceae sp.,6430,Infinity
Kribbella albertanoniae-solani,Unknown,Unknown
(f)Nocardioidaceae sp.,45543.3333333333,Infinity
Nocardioides sp.,157780,Infinity
Microlunatus sp.,Unknown,Unknown
Actinomycetospora sp.,9883.33333333333,Infinity
Actinomycetospora chibensis,1286.66666666667,Infinity
(f)Pseudonocardiaceae sp.,8906.66666666667,Infinity
Streptomyces sp.,2751.66666666667,Infinity
(c)Armatimonadia sp.,Unknown,Unknown
Bacteroides massiliensis,Unknown,Unknown
(o)Bacteroidales sp.,6084.33333333333,Infinity
Porphyromonas macacae,484,Infinity
Prevotella histicola,Unknown,Unknown
Chryseobacterium gwangjuense,Unknown,Unknown
(o)Chlorobiales sp.,22600,Infinity
Asterionella formosa,2926.66666666667,Infinity
Castanea sp.,Unknown,Unknown
(f)Populus euphratica euphratica-x,35150,Infinity
Bacillus arbutinivorans,Unknown,Unknown
Bacillus megaterium,1172.30769230769,Infinity
Bacillus soli,Unknown,Unknown
Psychrobacillus psychrodurans,Unknown,Unknown
Brochothrix thermosphacta,Unknown,Unknown
(f)Planococcaceae sp.,7001.11111111111,Infinity
Macrococcus canis,Unknown,Unknown
Staphylococcus arlettae,Unknown,Unknown
Staphylococcus devriesei,Unknown,Unknown
Staphylococcus equorum,872.857142857143,Infinity
Abiotrophia sp.,27996.6666666667,Infinity
Carnobacterium gallinarum-maltaromaticum,Unknown,Unknown
Lactococcus lactis,4957.5,Infinity
(f)Streptococcaceae sp.,216.333333333333,Infinity
Streptococcus gordonii,2270,Infinity
Streptococcus intermedius,Unknown,Unknown
(f)Lachnospiraceae sp.,Unknown,Unknown
Peptococcus sp.,74.3333333333333,Infinity
Peptoclostridium sp.,904.714285714286,Infinity
Catenibacterium mitsuokai,5410,Infinity
Veillonella dispar-parvula,40.75,Infinity
(f)Leptotrichiaceae sp.,6123.33333333333,Infinity
(o)Fusobacteriales sp.,740,Infinity
(p)Planctomycetes sp.,Unknown,Unknown
(f)Gemmataceae sp.,Unknown,Unknown
Aureimonas ureilytica,3033.33333333333,Infinity
Bradyrhizobium embrapense-erythrophlei-viridifuturi,6270,Infinity
Ochrobactrum grignonense-pseudogrignonense,1832,Infinity
Devosia insulae,Unknown,Unknown
Methylobacterium brachythecii,Unknown,Unknown
Methylobacterium oxalidis,Unknown,Unknown
Methylorubrum sp.,Unknown,Unknown
Microvirga soli-zambiensis,8953.33333333333,Infinity
(f)Phyllobacteriaceae sp.,Unknown,Unknown
(o)Rhodospirillales sp.,2716.66666666667,Infinity
Altererythrobacter sp.,Unknown,Unknown
(f)Erythrobacteraceae sp.,Unknown,Unknown
(o)Sphingomonadales sp.,Unknown,Unknown
Sphingomonas jaspsi,4893.33333333333,Infinity
Sphingomonas oligophenolica,Unknown,Unknown
Sphingomonas phyllosphaerae,7353.33333333333,Infinity
Sphingomonas qilianensis,Unknown,Unknown
Ramlibacter ginsenosidimutans,223.333333333333,Infinity
Massilia aerilata,1103.33333333333,Infinity
Neisseria macacae-mucosa,890,Infinity
Desulfovibrio sp.,240,Infinity
Pantoea eucrina,6126.66666666667,Infinity
Pasteurella dagmatis-multocida,645.333333333333,Infinity
Acinetobacter lwoffii,2761.66666666667,Infinity
Acinetobacter ursingii,Unknown,Unknown
Arenimonas sp.,Unknown,Unknown
Mycoplasma cynos,3980,Infinity
(p)*Gracilibacteria sp.,3570,Infinity
(c)Acidobacteriia sp.,12220,Infinity
(f)Acidimicrobiaceae sp.,9730,Infinity
(o)Acidimicrobiales sp.,Unknown,Unknown
Schaalia odontolytica,3160,Infinity
(o)Actinomycetales sp.,4703.33333333333,Infinity
Bifidobacterium adolescentis,Unknown,Unknown
Corynebacterium felinum,5923.33333333333,Infinity
Corynebacterium glucuronolyticum,2083.33333333333,Infinity
Corynebacterium mastitidis,1158,Infinity
Corynebacterium segmentosum,4080,Infinity
Mycolicibacterium madagascariense,Unknown,Unknown
(f)Cryptosporangiaceae sp.,7640,Infinity
(o)Frankiales sp.,15376.6666666667,Infinity
Modestobacter lapidis,6203.33333333333,Infinity
Brevibacterium ravenspurgense,Unknown,Unknown
Brachybacterium muris,4120,Infinity
(f)Dermabacteraceae sp.,2066.66666666667,Infinity
Dermacoccus nishinomiyaensis,Unknown,Unknown
(f)Dermatophilaceae sp.,Unknown,Unknown
Knoellia sp.,5110,Infinity
Curtobacterium sp.,2607.5,Infinity
Curtobacterium luteum,1653.33333333333,Infinity
Curtobacterium oceanosedimentum,3746.66666666667,Infinity
Labedella endophytica,Unknown,Unknown
Microbacterium sp.,16105,Infinity
Microbacterium arborescens-paludicola,1650,Infinity
Microbacterium enclense,4550,Infinity
Microbacterium ginsengisoli,Unknown,Unknown
(f)Microbacteriaceae sp.,8256.66666666667,Infinity
Pseudoclavibacter sp.,Unknown,Unknown
Schumannella luteola,2563.33333333333,Infinity
Glutamicibacter ardleyensis,Unknown,Unknown
Glutamicibacter protophormiae,Unknown,Unknown
Kocuria sp.,42020,Infinity
Kocuria himachalensis,2623.33333333333,Infinity
Kocuria polaris,3940,Infinity
Kocuria rosea,21120,Infinity
Micrococcus aloeverae-luteus,35380,Infinity
Micrococcus sp.,11845,Infinity
Paenarthrobacter nitroguajacolicus,Unknown,Unknown
Pseudarthrobacter chlorophenolicus,Unknown,Unknown
Pseudarthrobacter sulfonivorans,1042,Infinity
Rothia endophytica,19726.6666666667,Infinity
Actinoplanes utahensis,2190,Infinity
Luedemannella sp.,Unknown,Unknown
(o)Micromonosporales sp.,6456.66666666667,Infinity
(o)Nakamurellales sp.,4103.33333333333,Infinity
Nakamurella sp.,14405,Infinity
Aeromicrobium sp.,8785,Infinity
Aeromicrobium choanae,3163.33333333333,Infinity
Friedmanniella capsulata,8026.66666666667,Infinity
Marmoricola pocheonensis,19693.3333333333,Infinity
Nocardioides ginkgobilobae,Unknown,Unknown
Nocardioides glacieisoli,6030,Infinity
Nocardioides terrigena,963.333333333333,Infinity
Cutibacterium acnes,71412.3333333333,Infinity
Tessaracoccus sp.,5835,Infinity
(o)Pseudonocardiales sp.,2626.66666666667,Infinity
Actinomycetospora corticicola,1313.33333333333,Infinity
Actinomycetospora lutea,Unknown,Unknown
Actinomycetospora succinea,2136.66666666667,Infinity
(f)Streptomycetaceae sp.,1510,Infinity
Streptomyces thermoviolaceus,Unknown,Unknown
Collinsella stercoris,Unknown,Unknown
Rubrobacter sp.,Unknown,Unknown
Patulibacter sp.,4786.66666666667,Infinity
(f)Porphyromonadaceae sp.,918.666666666667,Infinity
(f)Prevotellaceae sp.,Unknown,Unknown
(f)Chitinophagaceae sp.,7263.33333333333,Infinity
(o)Flavobacteriales sp.,13243.3333333333,Infinity
(c)Flavobacteriia sp.,2893.33333333333,Infinity
(p)Chloroflexi sp.,Unknown,Unknown
(c)Cyanobacteria sp.,2133.33333333333,Infinity
Microcoleus vaginatus,Unknown,Unknown
Oscillatoria nigro-viridis,2266.66666666667,Infinity
Bacillus aryabhattai-megaterium,742.307692307692,Infinity
Bacillus smithii,Unknown,Unknown
Aliicoccus persicus,Unknown,Unknown
Macrococcus sp.,2116,Infinity
Staphylococcus haemolyticus,174.5,Infinity
Staphylococcus pasteuri-warneri,8636,Infinity
Staphylococcus pettenkoferi,249,Infinity
Staphylococcus sciuri,448.333333333333,Infinity
Aerococcus urinaeequi-viridans,952.857142857143,Infinity
Facklamia tabacinasalis,1176.66666666667,Infinity
Carnobacterium divergens,Unknown,Unknown
Lactobacillus sakei,Unknown,Unknown
(o)Lactobacillales sp.,23720,Infinity
Streptococcus acidominimus,1762,Infinity
Streptococcus equinus-salivarius,5865,Infinity
Streptococcus mutans,Unknown,Unknown
Streptococcus thermophilus,9075,Infinity
Clostridium perfringens,321,Infinity
Fusibacter sp.,2172.66666666667,Infinity
Stomatobaculum longum,Unknown,Unknown
Filifactor alocis,1705,Infinity
Peptostreptococcus sp.,1513.33333333333,Infinity
Selenomonas noxia,Unknown,Unknown
Peptoniphilus rhinitidis,518,Infinity
Gemmata sp.,1425,Infinity
Brevundimonas sp.,Unknown,Unknown
Brevundimonas bullata-diminuta-terrae,7730,Infinity
Aureimonas sp.,Unknown,Unknown
(f)Aurantimonadaceae sp.,Unknown,Unknown
(f)Bartonellaceae sp.,Unknown,Unknown
Bosea thiooxidans-vestrisii,5490,Infinity
Devosia sp.,Unknown,Unknown
Methylobacterium sp.,Unknown,Unknown
Methylobacterium aquaticum,899.090909090909,Infinity
Methylobacterium komagatae,3826.66666666667,Infinity
(f)Methylocystaceae sp.,Unknown,Unknown
Agrobacterium tumefaciens,5660,Infinity
Rhizobium sp.,Unknown,Unknown
Amaricoccus sp.,4743.33333333333,Infinity
Paracoccus aquimaris,9393.33333333333,Infinity
Paracoccus carotinifaciens-haeundaensis-marcusii,17360,Infinity
Paracoccus sediminis,Unknown,Unknown
Rubellimicrobium mesophilum,6766.66666666667,Infinity
Paracraurococcus ruber,Unknown,Unknown
Roseomonas sp.,12382,Infinity
Skermanella sp.,Unknown,Unknown
Altererythrobacter dongtanensis,16960,Infinity
Altererythrobacter rigui,Unknown,Unknown
(f)Erythrobacteraceae sediminis-xinjiangensis,Unknown,Unknown
Novosphingobium naphthalenivorans,Unknown,Unknown
Sphingobium sp.,Unknown,Unknown
Sphingobium subterraneum,1920,Infinity
Sphingobium xanthum,Unknown,Unknown
Sphingomonas 2012,7026.66666666667,Infinity
Sphingomonas desiccabilis,5053.33333333333,Infinity
Sphingomonas gimensis,Unknown,Unknown
Sphingomonas koreensis,Unknown,Unknown
Sphingomonas sediminicola,3636.66666666667,Infinity
Sphingomonas sp.,Unknown,Unknown
Lautropia sp.,38940,Infinity
Delftia lacustris-tsuruhatensis,Unknown,Unknown
Rhizobacter gummiphilus,Unknown,Unknown
Massilia sp.,3576.57142857143,Infinity
Massilia plicata,Unknown,Unknown
Neisseria canis,1123.33333333333,Infinity
Desulfomicrobium orale,8310,Infinity
(f)Kofleriaceae sp.,Unknown,Unknown
Aeromonas caviae,Unknown,Unknown
Enterobacter cloacae,105.625,Infinity
Klebsiella aerogenes-pneumoniae,573,Infinity
Klebsiella oxytoca,591.25,Infinity
Pantoea agglomerans,Unknown,Unknown
Actinobacillus sp.,2050,Infinity
Acinetobacter sp.,2525,Infinity
Acinetobacter radioresistens,1040,Infinity
Moraxella sp.,Unknown,Unknown
(f)Moraxellaceae sp.,7308.75,Infinity
Psychrobacter sp.,1440,Infinity
Pseudomonas putida,1910,Infinity
Xanthomonas citri,3915,Infinity
(f)Spirochaetaceae sp.,Unknown,Unknown
Treponema sp.,745.5,Infinity
Mycoplasma sp.,Unknown,Unknown
Mycoplasma edwardii,Unknown,Unknown
Chthoniobacter sp.,Unknown,Unknown
(p)*Saccharibacteria sp.,Unknown,Unknown
(f)Iamiaceae sp.,3396.66666666667,Infinity
Ilumatobacter fluminis,Unknown,Unknown
(f)Acidothermaceae sp.,Unknown,Unknown
Actinomyces bowdenii,1033.33333333333,Infinity
Actinomyces coleocanis,3280,Infinity
Actinomyces naeslundii,3593.33333333333,Infinity
Bifidobacterium pseudolongum,Unknown,Unknown
Corynebacterium casei,960,Infinity
Corynebacterium lipophiloflavum,Unknown,Unknown
Corynebacterium minutissimum-ulcerans,1682,Infinity
Corynebacterium propinquum,Unknown,Unknown
Corynebacterium xerosis,4346.66666666667,Infinity
Mycolicibacterium gilvum,Unknown,Unknown
Rhodococcus corynebacterioides,30963.3333333333,Infinity
Cryptosporangium sp.,4016.66666666667,Infinity
(f)Sporichthyaceae sp.,4593.33333333333,Infinity
Blastococcus sp.,8796.66666666667,Infinity
Blastococcus aggregatus,34396.6666666667,Infinity
Blastococcus colisei,3886.66666666667,Infinity
Geodermatophilus poikilotrophus,19126.6666666667,Infinity
(f)Kineosporiaceae sp.,4293.33333333333,Infinity
Quadrisphaera granulorum,6543.33333333333,Infinity
(o)Kineosporiales sp.,Unknown,Unknown
Salana sp.,Unknown,Unknown
Georgenia sp.,6950,Infinity
(f)Bogoriellaceae sp.,Unknown,Unknown
Brevibacterium sp.,109.2,Infinity
Brachybacterium sp.,597.666666666667,Infinity
Brachybacterium ginsengisoli,2926.66666666667,Infinity
Janibacter melonis,7203.33333333333,Infinity
Knoellia flava,2973.33333333333,Infinity
Ornithinimicrobium sp.,32215,Infinity
Agrococcus jenensis,6030,Infinity
Agromyces sp.,4945,Infinity
Amnibacterium sp.,Unknown,Unknown
Frigoribacterium endophyticum,Unknown,Unknown
Leucobacter tardus,Unknown,Unknown
Microbacterium lacticum,2470,Infinity
Microbacterium phyllosphaerae,4260,Infinity
Microbacterium yannicii,Unknown,Unknown
Okibacterium sp.,1398.66666666667,Infinity
Rudaibacter sp.,Unknown,Unknown
Arthrobacter humicola,5010,Infinity
Arthrobacter tumbae,Unknown,Unknown
Citricoccus sp.,2233.33333333333,Infinity
Glutamicibacter mysorens,Unknown,Unknown
Kocuria palustris,4863.33333333333,Infinity
Micrococcus luteus,28360,Infinity
Rothia dentocariosa,9413.33333333333,Infinity
Rothia nasimurium,23820,Infinity
Actinoplanes sp.,3254,Infinity
Actinoplanes capillaceus,3253.33333333333,Infinity
(o)Propionibacteriales sp.,4134.33333333333,Infinity
Aeromicrobium kwangyangensis,3323.33333333333,Infinity
Friedmanniella sagamiharensis,5870,Infinity
Marmoricola bigeumensis,2606.66666666667,Infinity
Marmoricola scoriae,3056.66666666667,Infinity
Marmoricola soli,4533.33333333333,Infinity
Cutibacterium granulosum,15820,Infinity
(f)Propionibacteriaceae sp.,23336.6666666667,Infinity
Propioniciclava sp.,20226.6666666667,Infinity
Pseudonocardia sp.,7105,Infinity
(c)Thermoleophilia sp.,2926.66666666667,Infinity
(f)Solirubrobacteraceae sp.,4663.33333333333,Infinity
Bacteroides vulgatus,1558.57142857143,Infinity
Porphyromonas canoris,20703.3333333333,Infinity
Prevotella copri,16750,Infinity
Prevotella intermedia,226,Infinity
Prevotella nanceiensis,1540,Infinity
Segetibacter sp.,Unknown,Unknown
(c)Chitinophagia sp.,4623.33333333333,Infinity
(f)Cytophagaceae sp.,7553.33333333333,Infinity
Siccationidurans sp.,5193.33333333333,Infinity
(c)Cytophagia sp.,4390,Infinity
Flavobacterium sp.,14828,Infinity
(f)Flavobacteriaceae sp.,15165,Infinity
Mucilaginibacter sp.,4890,Infinity
(f)Sphingobacteriaceae sp.,3707.5,Infinity
Pedobacter sp.,2164,Infinity
(f)Gossypium arboreum sp.,30870,Infinity
Brassica napus,Unknown,Unknown
Nageia nagi,7823.33333333333,Infinity
Navicula phyllepta,8573.33333333333,Infinity
Platanus occidentalis,1986.66666666667,Infinity
Chroococcidiopsis sp.,Unknown,Unknown
(f)Hyellaceae sp.,Unknown,Unknown
Bacillus niacini,3650,Infinity
Bacillus pumilus,1715,Infinity
(f)Bacillaceae sp.,6863.33333333333,Infinity
Parageobacillus caldoxylosilyticus,Unknown,Unknown
Quasibacillus thermotolerans,Unknown,Unknown
Exiguobacterium indicum,Unknown,Unknown
Gemella morbillorum,Unknown,Unknown
Ammoniphilus oxalaticus,4110,Infinity
Planomicrobium sp.,3780,Infinity
Tuberibacillus calidus,2203.33333333333,Infinity
Jeotgalicoccus halotolerans,2646.66666666667,Infinity
Staphylococcus aureus,5835,Infinity
Staphylococcus capitis,143.5,Infinity
Staphylococcus hominis,75250,Infinity
Staphylococcus nepalensis,Unknown,Unknown
Staphylococcus saprophyticus,130.6,Infinity
Staphylococcus xylosus,1683.33333333333,Infinity
Streptococcus equinus-salivarius-vestibularis,5495,Infinity
Streptococcus minor,4630,Infinity
Streptococcus oralis,3875,Infinity
Streptococcus peroris,1623.33333333333,Infinity
Streptococcus salivarius,975,Infinity
Streptococcus sanguinis,3885,Infinity
Streptococcus sanguinis-viridans,4012.5,Infinity
Blautia hansenii,6098,Infinity
Romboutsia sp.,3213.33333333333,Infinity
Holdemanella biformis,4070,Infinity
(f)Erysipelotrichaceae sp.,3866,Infinity
Turicibacter sanguinis,2633.33333333333,Infinity
Veillonella dispar,8533.33333333333,Infinity
Anaerococcus octavius,338.666666666667,Infinity
(f)Fusobacteriaceae sp.,2763.33333333333,Infinity
(c)Gemmatimonadetes sp.,14250,Infinity
Singulisphaera sp.,712.5,Infinity
(o)Planctomycetales sp.,7420,Infinity
Planctomyces sp.,3300,Infinity
Brevundimonas intermedia-nasdae-vesicularis,22245,Infinity
Ochrobactrum pseudogrignonense,Unknown,Unknown
Devosia mishustinii-yakushimensis,5513.33333333333,Infinity
Devosia riboflavina,2023.33333333333,Infinity
Methylobacterium adhaesivum-goesingense,21070,Infinity
Methylobacterium platani,1646.66666666667,Infinity
Methylobacterium radiotolerans,1513.33333333333,Infinity
Methylorubrum salsuginis,3446.66666666667,Infinity
Microvirga sp.,4100,Infinity
(f)Methylobacteriaceae sp.,Unknown,Unknown
Hansschlegelia zhihuaiae,Unknown,Unknown
Mesorhizobium alhagi,2460,Infinity
Agrobacterium sp.,Unknown,Unknown
Rhizobium soli,5880,Infinity
Shinella sp.,Unknown,Unknown
Shinella zoogloeoides,2410,Infinity
(f)Rhodobacteraceae sp.,Unknown,Unknown
Paracoccus panacisoli-sanguinis,Unknown,Unknown
Belnapia sp.,Unknown,Unknown
Belnapia moabensis,4313.33333333333,Infinity
Paracraurococcus sp.,2943.33333333333,Infinity
*Halyseosphaera sp.,2606.66666666667,Infinity
(f)Geminicoccaceae sp.,3350,Infinity
(f)Rhodospirillaceae sp.,5036.66666666667,Infinity
(o)Rickettsiales sp.,Unknown,Unknown
(f)Erythrobacteraceae neustonensis-tepidarius-troitsensis,13990,Infinity
