#taxa	5th	10th	50th	90th	95th	frequency	average
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agrococcus;s__citreus	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agrococcus;s__jenensis	0.0	0.0	0.0	0.0	0.0	2	0.0001
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Alpinimonas;s__sp6594	0.0	0.0	0.0	0.0	0.0	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Clavibacter;s__michiganensis	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium;s__flaccumfaciens	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Frigoribacterium;s__endophyticum-faeni	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Frigoribacterium-Glaciihabitans;s__endophyticum-faeni-tibetensis	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Labedella;s__endophytica	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter;s__alluvii-chromiiresistens	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__barkeri	0.0	0.0	0.0	0.0	0.0	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__foliorum	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__ginsengisoli	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__hominis	0.0	0.0	0.0	0.0	0.0	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__hydrocarbonoxydans	0.0	0.0	0.0	0.0	0.0	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__maritypicum	0.0	0.0	0.0	0.0	0.0	2	0.0001
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__oleivorans	0.0	0.0	0.0	0.0	0.0	2	0.0002
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__testaceum	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Mycetocola;s__zhadangensis	0.0	0.0	0.0	0.0	0.0	2	0.0003
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Mycetocola-Plantibacter;s__flavus-zhadangensis	0.0	0.0	0.0	0.0	0.0	2	0.0003
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__NA;s__sp6941	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__NA;s__sp6942	0.0	0.0	0.0	0.0	0.0	2	0.0002
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Pseudoclavibacter;s__helvolus	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Rudaibacter;s__terrae	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Yonghaparkia;s__alkaliphila	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__agilis	0.0	0.0	0.0	0.0	0.0	2	0.0009
