# Constructed from biom file
#OTU ID	NormalEar.1	NormalEar.2	NormalEar.4	NormalEar.5	NormalEar.6	NormalEar.7	NormalEar.8	NormalEar.9	NormalEar.10	NormalEar.11	NormalEar.12	NormalEar.13	NormalEar.14	NormalEar.15	NormalEar.16	NormalEar.17	NormalEar.19	NormalEar.21	NormalEar.22	NormalEar.26	NormalEar.27	NormalEar.28	NormalEar.29	NormalEar.30	NormalEar.31	NormalEar.32	NormalEar.33	NormalEar.34	NormalEar.36	NormalEar.37	NormalEar.38	NormalEar.39	NormalEar.40	NormalEar.42	NormalEar.45	NormalEar.46	NormalEar.47	NormalEar.48
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Verrucocladosporium;s__Verrucocladosporium_dirinae	0.0	0.000561395126613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0158808722459	0.0	0.0	0.0	0.00297109576373	0.0	0.000146984152436	0.00967425912319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Xenomeris;s__Xenomeris_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00861988739472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00416895227647	0.0	0.0136881922334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00169112995882	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium;s__Cladosporium_grevilleae	0.0609681497492	0.109567606307	0.0573687199259	0.0692819399887	0.0109379122329	0.0056990344611	0.0926810571287	0.00893803969096	0.0453273501903	0.0182787241286	0.545176576481	0.00168181636167	0.0775020215214	0.203794611698	0.0206069105216	0.0520876326955	0.00976294760774	0.0691451712094	0.157281443561	0.0132675188313	0.0432544289103	0.0772770700637	0.105503413809	0.22981349424	0.677797375665	0.0838980052793	0.0734617661794	0.120878110302	0.331370566427	0.880478713529	0.177501652346	0.197575069502	0.440840295893	0.430672387512	0.110154745301	0.250080683681	0.311489884449	0.17040576552
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium;s__Cladosporium_grevilleae-Cladosporium_sphaerospermum	0.0109905795033	0.00201863354037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00430428562543	0.0	0.0	0.00450710736161	0.0	0.00739142038268	0.0	0.0	0.0	0.0	0.0	0.0013027975864	0.0	0.00507524423762	0.0075602313613	0.0188785832523	0.00416344495331	0.00899730080976	0.00211500330469	0.194067216861	0.0118962106033	0.0183481059109	0.00247061167563	0.0	0.00702522169757	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium;s__Cladosporium_oxysporum-Cladosporium_sp-Dothideomycetes_sp	0.0	0.0	0.0	0.0	0.00850848650075	0.00102048826438	0.000794622741168	0.0	0.0	0.00424977401064	0.00190607296024	0.000700756817363	0.0	0.0	0.0	0.00335143880735	0.0	0.0	0.0	0.00887354485277	0.00591783172664	0.0221496815287	0.0	0.0147696105321	0.000828456131912	0.0	0.0	0.0134002469849	0.0	0.0	0.0026040978189	0.0	0.000441067130417	0.0	0.00286909742977	0.00624814427533	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium;s__Cladosporium_sphaerospermum	0.00436360670446	0.00464644051601	0.0	0.000141536138894	0.0	0.0	0.0	0.00181790637782	0.00216804900799	0.0	0.00255466723143	0.0	0.0	0.0	0.000292158466752	0.0127783922999	0.0	0.0	0.215657437	0.00847409267291	0.00880734871044	0.0374363057325	0.0	0.0	0.0	0.00834081693744	0.022908411896	0.0231876822828	0.0	0.00764056497337	0.00326503635162	0.0504927004643	0.0162312703994	0.0	0.00180646875208	0.00392445425558	0.0330274994562	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium;s__NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00109473160416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00215767425428	0.0	0.0	0.0	0.0	0.0	0.0	0.0125068971859	0.00743472313091	0.00271347167278	0.0	0.00411917965737	0.000516678638489	0.0	0.0	0.0	0.0027256324619	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cercospora;s__Cercospora_canescens	0.0	0.00180363115146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00305814591333	0.0	0.0	0.0	0.0	0.0	0.000385598606132	0.00268341044283	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Dissoconium;s__Dissoconium_proteae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00135641803268	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__NA;s__Mycosphaerellaceae_sp	0.0	0.00403726708075	0.000552915508533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
