Pseudopropionibacterium propionicum	https://www.midogportal.com/microbial-infections-database?microbe=6ff720ca-1a0d-4a9e-84f6-e9bfa6c05135
Salmonella enterica	https://www.midogportal.com/microbial-infections-database?microbe=769799bd-900f-4b02-9fe4-1744e73d37ce
Sporothrix	https://www.midogportal.com/microbial-infections-database?microbe=aad979b0-eb8d-4a46-b87a-862ac881521c
Stachybotrys chartarum	https://www.midogportal.com/microbial-infections-database?microbe=17b5c039-1a2e-48fc-8ca1-c4b90514fae5
Serratia marcescens	https://www.midogportal.com/microbial-infections-database?microbe=159f1107-7642-4ef5-99c1-394d7a4fc964
Schaalia canis	https://www.midogportal.com/microbial-infections-database?microbe=edc86b24-321c-4782-a409-35948f257f93
Rhizopus oryzae	https://www.midogportal.com/microbial-infections-database?microbe=4c7f635a-3034-451b-9ef2-5161d39d9366
Proteus mirabilis	https://www.midogportal.com/microbial-infections-database?microbe=a70eb13c-e3a4-4d08-82e8-a6021ef6d809
Porphyromonas cangingivalis	https://www.midogportal.com/microbial-infections-database?microbe=9dcacb83-d0bb-4513-8ca9-21e78dc59735
Malassezia pachydermatis	https://www.midogportal.com/microbial-infections-database?microbe=81ef99fe-9bb7-41d5-a19d-1df9fdeeaa68
Corynebacterium jeikeium	https://www.midogportal.com/microbial-infections-database?microbe=222ed4b6-817f-4d91-b639-4d76fd5787d6
Moraxella cuniculi	https://www.midogportal.com/microbial-infections-database?microbe=3429d512-99cc-4cf0-8f19-5d2b465b1eaf
Nannizziopsis chlamydospore	https://www.midogportal.com/microbial-infections-database?microbe=172d0fc1-64dc-4ae4-ac4c-2e78c1686908
Bacteroides heparinolyticus	https://www.midogportal.com/microbial-infections-database?microbe=c1e2f0ed-14d1-4ec2-a8b0-ff84df06c834
Cryptococcus neoformans	https://www.midogportal.com/microbial-infections-database?microbe=2dec6389-42da-49e7-b0cc-77dbe569cd92
Mycoplasma cynos	https://www.midogportal.com/microbial-infections-database?microbe=7b2a509a-8459-49e4-aefa-359e177315cb
