Organisms	Ampicillin	Ampicillin-Sulbactam	Clavamox|Amoxicillin	Piperacillin	Piperacillin-Tazobactam	Benzylpenicillin	Temocillin	Ticarcillin	Timentin	Amikacin	Arbekacin	Streptomycin	Gentamicin	Neomycin	Netilmicin	Kanamycin	Tetracycline|Doxycycline	Tigecycline	Daptomycin	Colistin	Nitrofurantoin	Cefotaxime|Cefpodxime|Cefovecin|Ceftiofur|Cefpodoxime	Ceftriaxone	Ceftazidime	Cefazolin|Cefalotin|Cefalexin|Cefadroxil	Cefoxitin	Cefepime	Cefuroxime	Ertapenem	Imipenem	Meropenem	Ciprofloxacin|Enrofloxacin|Marbofloxacin	Nalidixic acid	Chloramphenicol	Trimethoprim	Fosfomycin	Macrolides|Azithromycin|Erythromycin	Fusidic acid	Other Streptogramins	Quinupristin-Dalfopristin	Clindamycin	Vancomycin	Teicoplanin	Novobiocin	Sulfonamide	Rifampicin	Linezolid	Aztreonam
Achromobacter xylosoxidans	R	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	R	R	NA	R	R	NA	R	R	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
Burkholderia cepacia	R	R	R	R	R	R	NA	R	R	R	R	R	R	R	R	R	NA	NA	R	R	NA	R	R	NA	R	R	NA	R	R	NA	NA	R	NA	R	R	R	R	R	R	R	R	R	NA	NA	NA	R	R	R
Elizabethkingia meningoseptica	R	R	R	R	NA	R	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	NA	R	R	R	R	R	R	R	R	R	R	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	R
Ochrobactrum anthropi	R	R	R	R	R	R	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	R	R	R	R	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	R
Pseudomonas aeruginosa	R	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	R	NA	R	R	R	R	NA	NA	R	R	NA	R	R	NA	R	R	NA	NA	NA	NA	R	R	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
Stenotrophomonas maltophilia	R	R	R	R	R	R	NA	R	NA	R	R	R	R	R	R	R	R	NA	R	NA	NA	R	R	NA	R	R	NA	R	R	R	R	NA	NA	NA	R	R	R	R	R	R	R	R	NA	NA	NA	R	R	R
Haemophilus influenzae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	NA	NA	NA	NA	R	NA
Moraxella catarrhalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	R	R	NA	NA	NA	NA	R	NA
Neisseria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	R	R	NA	NA	NA	NA	R	NA
Campylobacter fetus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	R	NA	NA	R	R	R	R	R	NA	NA	NA	NA	R	NA
