id,C1,C2
Escherichia coli,115,Infinity
Pantoea agglomerans,2911,Infinity
Haemophilus sp.,12460,Infinity
Ascochyta medicaginicola,1138,Infinity
(o)Solirubrobacterales sp.,Unknown,Unknown
Bacteroides sartorii,1353,Infinity
Allobacillus halotolerans,58616,Infinity
(f)Bacillaceae sp.,11700,Infinity
Brevundimonas bullata-diminuta-terrae,7480,Infinity
Stemphylium vesicarium,2384,Infinity
Sarocladium bactrocephalum-strictum,527,Infinity
(f)Apiosporaceae sp.,142,Infinity
Corynebacterium lactis,10921160,Infinity
(c)Thermomicrobia sp.,15920,Infinity
(f)Populus euphratica euphratica-x,20273,Infinity
(c)Negativicutes sp.,46,3505
Finegoldia magna,23,395
Aspergillus penicillioides,174,Infinity
Saccharomyces cerevisiae,59,Infinity
(f)Cellulomonadaceae sp.,6556,Infinity
Staphylococcus sciuri,9355,Infinity
Sphingobium yanoikuyae,1212,Infinity
Herbaspirillum magnetovibrio,9193,Infinity
(c)Deltaproteobacteria sp.,4130,Infinity
Cladosporium halotolerans-sphaerospermum,443,Infinity
Penicillium sp.,55,Infinity
Ustilago nunavutica,18,Infinity
(o)Acidimicrobiales sp.,4180,Infinity
Pseudoclavibacter helvolus,4920,Infinity
Parabacteroides distasonis,2820,Infinity
Dyadobacter sp.,1576,Infinity
Sporosarcina sp.,16520,Infinity
Staphylococcus auricularis,80,5700
(c)Alphaproteobacteria sp.,7373,Infinity
Moraxella sp.,Unknown,Unknown
(f)Moraxellaceae sp.,95200,Infinity
Pseudomonas rhizosphaerae,2506,Infinity
(o)Malasseziales sp.,17,Infinity
Dioszegia hungarica,373,Infinity
Microbacterium testaceum,7645,Infinity
Siccationidurans sp.,5096,Infinity
(p)Chloroflexi sp.,3736,Infinity
Streptococcus ferus,950,Infinity
Subdoligranulum sp.,29760,Infinity
Fusobacterium sp.,Unknown,Unknown
Altererythrobacter sp.,6636,Infinity
Dechloromonas agitata,1810,Infinity
Enterobacter cloacae,324,Infinity
Stenotrophomonas maltophilia,857,Infinity
(o)Helotiales sp.,78,Infinity
(c)Agaricomycetes sp.,121,Infinity
Rhodotorula alborubescens-mucilaginosa,4,Infinity
Filobasidium globisporum,110,Infinity
Corynebacterium casei,14990,Infinity
Corynebacterium kroppenstedtii,2393,Infinity
Brachybacterium sp.,7560,Infinity
Porphyromonas gulae,38,12824
(o)Sphingobacteriales sp.,4050,Infinity
Brassica napus,2400,Infinity
Gemella morbillorum,0,0
Solibacillus kalamii-silvestris,4904,Infinity
Staphylococcus capitis-caprae,203,2036
Aerococcus urinaeequi,120136,Infinity
Streptococcus sp.,1446,Infinity
(o)Rhizobiales sp.,Unknown,Unknown
(f)Rhodobacteraceae sp.,20066,Infinity
Acidovorax wohlfahrtii,3593,Infinity
Neisseria sp.,0,1378
(c)Gammaproteobacteria sp.,1476,Infinity
Moraxella osloensis,1287,Infinity
Pseudomonas fluorescens,5046,Infinity
Pseudomonas helleri,1486,Infinity
Pyrenophora grahamii,1491,Infinity
Candida sake,16,Infinity
(o)Hypocreales sp.,352,Infinity
Brachybacterium massiliense,76216,Infinity
Glutamicibacter halophytocola,3153,Infinity
Yaniella halotolerans,11226,Infinity
(f)Cytophagaceae sp.,1486,Infinity
Exiguobacterium acetylicum,8360,Infinity
Planococcus sp.,4400,Infinity
(f)Staphylococcaceae sp.,5500,Infinity
Staphylococcus haemolyticus,386,Infinity
Staphylococcus pasteuri-warneri,496,Infinity
Enterococcus faecalis,1892,Infinity
Streptococcus mitis,1547,Infinity
Blautia sp.,4860,Infinity
Lachnoclostridium sp.,Unknown,Unknown
Papillibacter sp.,2173,Infinity
Veillonella dispar,13,180
(f)Bradyrhizobiaceae sp.,5146,Infinity
Bradyrhizobium embrapense-erythrophlei-viridifuturi,3533,Infinity
Sphingomonas kyeonggiensis,3943,Infinity
Massilia sp.,Unknown,Unknown
Acinetobacter schindleri,19052,Infinity
Cladosporium lignicola-sphaerospermum,257,Infinity
Scopulariopsis sp.,59,Infinity
(f)Psathyrellaceae sp.,65,Infinity
Stereum complicatum,14,Infinity
(c)Acidobacteriia sp.,2236,Infinity
Microbacterium foliorum,4355,Infinity
Enteractinococcus lamae,10336,Infinity
Micrococcus aloeverae-luteus,3160,Infinity
Marmoricola sp.,3403,Infinity
