#query	genus	phylum	domain
Burkholderia cepacia	Burkholderia	Pseudomonadota	Bacteria
Burkholderia contaminans	Burkholderia	Pseudomonadota	Bacteria
Burkholderia gladioli	Burkholderia	Pseudomonadota	Bacteria
Burkholderia glumae	Burkholderia	Pseudomonadota	Bacteria
Burkholderia mallei	Burkholderia	Pseudomonadota	Bacteria
Burkholderia multivorans	Burkholderia	Pseudomonadota	Bacteria
Burkholderia pseudomallei	Burkholderia	Pseudomonadota	Bacteria
Burkholderia pyrrocinia	Burkholderia	Pseudomonadota	Bacteria
Burkholderia stabilis	Burkholderia	Pseudomonadota	Bacteria
Campylobacter	Campylobacter	Campylobacterota	Bacteria
Campylobacter avium	Campylobacter	Campylobacterota	Bacteria
Campylobacter concisus	Campylobacter	Campylobacterota	Bacteria
Campylobacter fetus	Campylobacter	Campylobacterota	Bacteria
Campylobacter gracilis	Campylobacter	Campylobacterota	Bacteria
Campylobacter jejuni	Campylobacter	Campylobacterota	Bacteria
Campylobacter lari	Campylobacter	Campylobacterota	Bacteria
Campylobacter rectus	Campylobacter	Campylobacterota	Bacteria
Campylobacter upsaliensis	Campylobacter	Campylobacterota	Bacteria
Campylobacter ureolyticus	Campylobacter	Campylobacterota	Bacteria
Capnocytophaga cynodegmi	Capnocytophaga	Bacteroidota	Bacteria
Caviibacter abscessus	Caviibacter	Fusobacteriota	Bacteria
Chelonobacter oris	Chelonobacter	Pseudomonadota	Bacteria
Chlamydia	Chlamydia	Chlamydiota	Bacteria
Chlamydia abortus	Chlamydia	Chlamydiota	Bacteria
Chlamydia avium	Chlamydia	Chlamydiota	Bacteria
Chlamydia caviae	Chlamydia	Chlamydiota	Bacteria
Chlamydia felis	Chlamydia	Chlamydiota	Bacteria
Chlamydia gallinacea	Chlamydia	Chlamydiota	Bacteria
Chlamydia pecorum	Chlamydia	Chlamydiota	Bacteria
Chlamydia pneumoniae	Chlamydia	Chlamydiota	Bacteria
Chlamydia psittaci	Chlamydia	Chlamydiota	Bacteria
Chlamydia suis	Chlamydia	Chlamydiota	Bacteria
Chlamydia trachomatis	Chlamydia	Chlamydiota	Bacteria
Chlamydophila psittaci	Chlamydia	Chlamydiota	Bacteria
Chryseobacterium indologenes	Chryseobacterium	Bacteroidota	Bacteria
Citrobacter	Citrobacter	Pseudomonadota	Bacteria
Citrobacter freundii	Citrobacter	Pseudomonadota	Bacteria
Clostridioides difficile	Clostridioides	Bacillota	Bacteria
Clostridium	Clostridium	Bacillota	Bacteria
Clostridium botulinum	Clostridium	Bacillota	Bacteria
Clostridium butyricum	Clostridium	Bacillota	Bacteria
Clostridium chauvoei	Clostridium	Bacillota	Bacteria
Clostridium difficile			
Clostridium disporicum	Clostridium	Bacillota	Bacteria
Clostridium paraputrificum	Clostridium	Bacillota	Bacteria
Clostridium perfringens	Clostridium	Bacillota	Bacteria
Clostridium piliforme	Tyzzerella	Bacillota	Bacteria
Clostridium septicum	Clostridium	Bacillota	Bacteria
Clostridium spiroforme	Thomasclavelia	Bacillota	Bacteria
Clostridium sporogenes	Clostridium	Bacillota	Bacteria
Clostridium tetani	Clostridium	Bacillota	Bacteria
Corynebacterium amycolatum	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium aurimucosum	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium auriscanis	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium freneyi	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium jeikeium	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium kroppenstedtii	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium kutscheri	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium lactis	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium mastitidis	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium pseudogenitalium	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium pseudotuberculosis	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium renale	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium stationis	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium tuberculostearicum	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium ulcerans	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium urealyticum	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium urealyticum	Corynebacterium	Actinomycetota	Bacteria
Corynebacterium xerosis	Corynebacterium	Actinomycetota	Bacteria
Cronobacter	Cronobacter	Pseudomonadota	Bacteria
Defluviitalea phaphyphila	Defluviitalea	Bacillota	Bacteria
Defluviitalea raffinosedens	Defluviitalea	Bacillota	Bacteria
Defluviitalea saccharophila	Defluviitalea	Bacillota	Bacteria
Dermatophilus	Dermatophilus	Actinomycetota	Bacteria
Desulfovibrio	Desulfovibrio	Thermodesulfobacteriota	Bacteria
Devriesea agamarum	Devriesea	Actinomycetota	Bacteria
Ehrlichia	Ehrlichia	Pseudomonadota	Bacteria
Ehrlichia canis	Ehrlichia	Pseudomonadota	Bacteria
Ehrlichia chaffeensis	Ehrlichia	Pseudomonadota	Bacteria
Ehrlichia ewingii	Ehrlichia	Pseudomonadota	Bacteria
Ehrlichia ruminantium	Ehrlichia	Pseudomonadota	Bacteria
Enterobacter	Enterobacter	Pseudomonadota	Bacteria
Enterobacter cloacae	Enterobacter	Pseudomonadota	Bacteria
Enterococcus	Enterococcus	Bacillota	Bacteria
Enterococcus faecalis	Enterococcus	Bacillota	Bacteria
Enterococcus faecium	Enterococcus	Bacillota	Bacteria
Erysipelothrix	Erysipelothrix	Bacillota	Bacteria
Erysipelothrix rhusiopathiae	Erysipelothrix	Bacillota	Bacteria
Escherichia	Escherichia	Pseudomonadota	Bacteria
Escherichia coli	Escherichia	Pseudomonadota	Bacteria
Fibrobacter succinogenes	Fibrobacter	Fibrobacterota	Bacteria
Filobacterium rodentium	Filobacterium	Bacteroidota	Bacteria
Finegoldia magna	Finegoldia	Bacillota	Bacteria
Flavobacterium columnare	Flavobacterium	Bacteroidota	Bacteria
Flavobacterium terrae	Flavobacterium	Bacteroidota	Bacteria
Francisella	Francisella	Pseudomonadota	Bacteria
