#query	genus	phylum	domain
Streptococcus equinus	Streptococcus	Bacillota	Bacteria
Streptococcus gallolyticus	Streptococcus	Bacillota	Bacteria
Streptococcus halichoeri	Streptococcus	Bacillota	Bacteria
Streptococcus iniae	Streptococcus	Bacillota	Bacteria
Streptococcus milleri	Streptococcus	Bacillota	Bacteria
Streptococcus pneumoniae	Streptococcus	Bacillota	Bacteria
Streptococcus pyogenes	Streptococcus	Bacillota	Bacteria
Streptococcus suis	Streptococcus	Bacillota	Bacteria
Streptococcus zooepidemicus			
Sutterella stercoralis			
Tannerella forsythia	Tannerella	Bacteroidota	Bacteria
Tenacibaculum	Tenacibaculum	Bacteroidota	Bacteria
Tenacibaculum maritimum	Tenacibaculum	Bacteroidota	Bacteria
Terrisporobacter glycolicus	Terrisporobacter	Bacillota	Bacteria
Terrisporobacter mayombei	Terrisporobacter	Bacillota	Bacteria
Treponema pallidum	Treponema	Spirochaetota	Bacteria
Treponema paraluis-cuniculi			
Trueperella abortisuis	Trueperella	Actinomycetota	Bacteria
Trueperella bernardiae	Trueperella	Actinomycetota	Bacteria
Trueperella pyogenes	Trueperella	Actinomycetota	Bacteria
Ureaplasma	Ureaplasma	Mycoplasmatota	Bacteria
Ureaplasma canigenitalium	Ureaplasma	Mycoplasmatota	Bacteria
Ureaplasma parvum	Ureaplasma	Mycoplasmatota	Bacteria
Ureaplasma urealyticum	Ureaplasma	Mycoplasmatota	Bacteria
Vagococcus	Vagococcus	Bacillota	Bacteria
Veillonella dispar	Veillonella	Bacillota	Bacteria
Vibrio	Vibrio	Pseudomonadota	Bacteria
Vibrio chitinovora			
Vibrio cholerae	Vibrio	Pseudomonadota	Bacteria
Wolbachia pipientis	Wolbachia	Pseudomonadota	Bacteria
Bacillus anthracis	Bacillus	Bacillota	Bacteria
Bacillus piliformis	Tyzzerella	Bacillota	Bacteria
Coxiella	Coxiella	Mollusca	Eukaryota
Coxiella burnetii	Coxiella	Pseudomonadota	Bacteria
Edwardsiella ictaluri	Edwardsiella	Pseudomonadota	Bacteria
Lawsonia intracellularis	Lawsonia	Thermodesulfobacteriota	Bacteria
Morganella	Morganella	Arthropoda	Eukaryota
Morganella morganii	Morganella	Pseudomonadota	Bacteria
Paracoccus yeei	Paracoccus	Pseudomonadota	Bacteria
Proteus	Proteus	Chordata	Eukaryota
Proteus mirabilis	Proteus	Pseudomonadota	Bacteria
Proteus vulgaris	Proteus	Pseudomonadota	Bacteria
Rothia kristinae	Rothia	Actinomycetota	Bacteria
Rothia mucilaginosa	Rothia	Actinomycetota	Bacteria
Rothia nasimurium	Rothia	Actinomycetota	Bacteria
Serratia	Serratia	Arthropoda	Eukaryota
Serratia marcescens	Serratia	Pseudomonadota	Bacteria
Yersinia	Yersinia	Arthropoda	Eukaryota
Yersinia enterocolitica	Yersinia	Pseudomonadota	Bacteria
Yersinia pestis	Yersinia	Pseudomonadota	Bacteria
