id,C1,C2
(f)Nocardioidaceae sp.,7720,Infinity
Pseudonocardia sp.,Unknown,Unknown
Eggerthella sp.,17600,Infinity
(f)Flavobacteriaceae sp.,132486,Infinity
Alopecurus japonicus,21020,Infinity
Deinococcus sp.,2701,27010
Gemella morbillorum,Unknown,Unknown
(o)Bacillales sp.,326,3263
Macrococcus equipercicus,651800,Infinity
Staphylococcus auricularis,0,0
Staphylococcus hominis,1179360,Infinity
Staphylococcus kloosii,81241,Infinity
Enterococcus avium,311300,Infinity
Streptococcus thermophilus,965,Infinity
(f)Christensenellaceae sp.,1065753,Infinity
Eubacterium callanderi,23193,Infinity
Eubacterium limosum,17578,Infinity
Oscillibacter sp.,385153,Infinity
Peptoniphilus grossensis,Unknown,Unknown
(k)Bacteria sp.,636033,Infinity
Bosea thiooxidans-vestrisii,125913,Infinity
Methylobacterium adhaesivum-goesingense,273,Infinity
Methylorubrum populi,2222,Infinity
(o)Rhizobiales sp.,24436,Infinity
Paracoccus carotinifaciens-haeundaensis-marcusii,120910,Infinity
Roseomonas mucosa,0,0
Sphingobium yanoikuyae,941,Infinity
Sphingomonas hankookensis,0,0
Neisseria flavescens,Unknown,Unknown
(f)Enterobacteriaceae enterica-koseri,0,0
(f)Enterobacteriaceae adecarboxylata-cloacae-ludwigii,1648,16486
Proteus mirabilis,0,0
Acinetobacter baumannii,0,0
Acinetobacter oleivorans-pittii,0,0
(o)Pseudomonadales sp.,0,0
Pseudomonas alcaligenes-nitroreducens,2743,Infinity
Pseudomonas fluorescens,Unknown,Unknown
Pseudomonas japonica,Unknown,Unknown
Cloacibacillus porcorum,168876,Infinity
Alternaria sesami,62,Infinity
(f)Aspergillaceae sp.,438,Infinity
(o)Eurotiales sp.,6,Infinity
(o)Hypocreales sp.,22,Infinity
Fusarium sp.,0,4
(c)Sordariomycetes sp.,223,Infinity
(f)Psathyrellaceae sp.,Unknown,Unknown
(o)Polyporales sp.,Unknown,Unknown
Stereum complicatum,1,Infinity
Cystobasidium slooffiae,0,Infinity
(p)Basidiomycota sp.,0,0
Wallemia mellicola,39,Infinity
Mucor plumbeus,5,Infinity
Actinomyces naeslundii,Unknown,Unknown
Corynebacterium glyciniphilum-variabile,73,730
Corynebacterium jeikeium,515,5152
Dietzia maris,24573,Infinity
Brachybacterium muris,77930,Infinity
Microbacterium hydrothermale,Unknown,Unknown
Microbacterium maritypicum-oxydans,Unknown,Unknown
